my_picks
117
104
97
117
85
2
88
85
2
26
136
53
26
39
97
60
53
85
61
120
53
117
60
60
53
14
109
60
60
117
120
60
117
120
26
53
53
61
97
120
55
55
97
26
26
85
47
85
39
110
109
15
109
60
51
83
83
26
61
136
26
88
44
64
26
26
34
30
26
89
136
2
120
109
117
26
96
123
103
103
93
26
97
97
93
97
97
51
31
16
136
31
31
60
85
109
44
60
60
88
26
109
26
60
47
26
136
136
109
130
51
136
26
51
109
109
2
109
109
109
93
2
109
26
109
60
0
85
51
44
44
88
88
9
2
112
44
120
26
0
109
82
93
2
31
26
0
51
96
2
125
26
26
0
15
0
85
0
28
97
15
60
15
15
44
44
85
88
26
26
82
44
103
26
26
2
32
28
44
31
44
44
44
44
109
0
44
2
44
44
2
2
39
44
64
44
0
44
0
0
30
60
88
44
2
96
96
31
60
31
88
0
2
82
143
109
18
2
112
2
60
60
109
26
2
9
2
2
2
135
2
2
88
136
93
93
61
51
26
26
51
109
109
2
87
2
109
47
109
0
88
18
120
125
26
26
138
44
44
26
109
0
109
0
88
136
93
61
25
58
15
31
60
88
109
26
109
2
18
92
93
112
18
2
2
9
60
109
117
112
112
44
117
44
47
2
33
138
2
109
2
0
2
134
134
0
109
73
47
26
28
2
117
96
93
93
0
109
26
109
109
88
15
2
0
109
143
143
82
2
44
109
136
109
9
9
109
18
88
88
26
88
88
88
0
109
55
109
143
15
88
88
109
109
136
0
15
0
88
64
78
98
109
109
0
96
117
88
109
55
109
117
44
88
88
117
64
109
55
93
135
88
39
143
120
15
120
88
112
88
39
88
15
15
9
88
61
15
109
61
44
44
15
15
78
112
140
88
15
78
88
2
88
88
78
0
88
15
9
88
88
88
131
120
88
88
112
112
97
88
88
88
64
50
0
125
88
15
39
44
39
9
130
120
64
44
44
44
15
15
15
97
39
56
39
44
60
136
39
136
9
9
2
26
2
9
136
2
136
39
39
0
68
136
15
15
2
2
136
125
9
136
78
97
9
60
2
2
44
97
73
96
143
20
9
109
78
2
136
9
9
2
2
20
58
20
9
9
51
9
9
78
9
9
9
39
2
0
9
143
44
78
34
97
49
78
78
60
39
78
31
143
0
49
109
47
78
78
130
78
78
78
78
78
143
143
90
106
136
20
112
87
73
112
0
73
64
15
64
2
23
15
106
0
20
26
0
61
97
0
136
20
20
20
50
9
0
143
0
0
39
39
129
39
136
2
2
2
39
109
97
39
83
143
61
143
78
143
15
136
0
97
64
39
82
143
143
15
61
15
109
109
97
60
143
44
143
109
78
39
136
39
74
74
120
97
97
44
93
15
0
39
39
109
109
136
98
60
78
61
78
0
78
51
78
2
136
120
97
44
87
97
109
44
120
109
97
120
2
109
120
120
120
120
120
120
120
120
110
109
136
109
39
39
87
60
0
0
131
47
97
143
109
97
97
109
2
29
97
109
78
78
54
54
87
2
0
2
9
87
109
2
2
39
0
60
97
2
109
109
2
60
109
109
2
2
136
36
36
26
2
136
136
2
26
97
32
48
131
2
2
29
109
2
136
140
39
143
39
39
136
136
136
61
136
136
136
109
96
26
2
109
2
39
39
109
60
39
60
0
143
2
109
143
143
136
109
109
2
111
2
136
93
93
78
29
60
60
60
60
2
136
97
60
60
60
78
60
60
112
109
2
39
2
60
60
60
60
60
29
136
143
39
136
109
143
140
82
61
60
77
26
77
2
32
4
60
78
2
109
127
77
77
110
63
44
60
136
143
136
136
82
78
61
2
2
136
78
60
125
29
2
2
136
2
2
2
2
2
2
109
78
109
78
78
64
78
80
80
80
2
2
2
2
2
2
97
48
78
26
9
18
49
2
109
60
97
120
109
58
109
2
2
0
130
60
136
2
60
2
2
97
97
97
97
109
60
2
0
2
23
58
82
140
103
2
97
2
136
29
135
2
137
60
1
2
136
2
2
36
2
129
61
60
87
109
39
63
78
95
140
2
2
130
63
136
78
51
60
9
109
78
82
136
136
60
136
39
64
140
0
0
140
136
109
136
39
39
109
109
110
60
60
143
3
110
51
109
140
109
39
97
140
39
97
97
9
110
110
60
97
26
39
110
110
29
39
136
29
60
116
140
109
136
110
97
136
109
143
27
109
140
60
0
109
136
87
16
16
109
103
28
136
39
39
109
60
109
109
129
129
136
136
60
140
140
0
32
116
31
58
125
109
50
60
112
136
61
97
2
2
136
109
116
34
2
26
60
92
39
87
87
63
61
97
109
113
113
109
2
2
26
80
129
109
87
109
2
109
39
25
125
109
18
18
0
60
16
143
136
97
15
0
39
2
80
2
39
39
2
2
0
0
136
15
95
39
39
0
47
39
39
143
0
39
2
39
60
39
143
